test,mask_size,pcm_mean,pcm_std
DoB,15,0.900414960105837,0.02215012865560911
DoB,19,1.676672212748316,0.20105186519020288
T,15,1.0859568087827471,0.02565985662177693
T,19,2.119110957155844,0.06034078970102557
F,15,1.8294721989674567,0.1281309424514673
F,19,2.2891412056724287,0.24305439661366704
L,15,0.5635118347265982,0.030659298544030166
L,19,0.5695336020093819,0.015335553586853123
U,15,0.43765704638868924,0.001770642676124551
U,19,0.4380904053025407,0.004110647038048913
KS,15,0.9845036781794866,0.0920639716449187
KS,19,2.0074065262597567,0.034223652212608854
v2,15,1.4914137764081203,0.3672275444555836
v2,19,2.5313162742140016,1.1865252244723115
